Date,BAJFINANCE,EICHERMOT,ADANIENT,TRENT,TITAN,BAJAJFINSV,BRITANNIA,APOLLOHOSP,ASIANPAINT,SHREECEM,HINDPETRO,HCLTECH,SHRIRAMFIN,DIVISLAB,INDUSINDBK
2010-03-03,31.58,67.1,46.69,81.64,89.87,34.1,167.8,360.0,188.0,2171.38,29.45,90.8,91.6,317.5,153.95
2010-03-04,31.2,66.8,47.75,81.16,90.8,34.0,174.97,350.6,198.8,2230.41,29.65,95.5,88.4,325.65,166.0
2010-03-05,31.56,65.8,47.56,81.83,94.0,33.15,175.5,352.0,197.4,2242.93,29.75,90.05,89.85,325.0,160.05
2010-03-08,31.77,67.9,48.81,78.84,92.45,33.7,169.77,362.5,198.0,2265.74,30.1,89.4,91.0,331.85,161.4
2010-03-09,31.46,64.6,48.55,80.73,90.5,32.9,166.0,353.0,193.5,2202.34,30.1,89.15,93.55,324.4,161.0
2010-03-10,31.38,62.8,48.52,78.85,90.05,33.1,162.0,352.5,193.24,2186.29,29.75,89.65,98.3,317.6,157.0
2010-03-11,31.15,63.2,43.45,79.74,88.35,33.05,160.8,358.98,185.37,2065.6,29.55,87.2,96.6,316.1,163.5
2010-03-12,30.6,63.0,45.83,78.53,90.89,33.0,160.0,356.52,194.5,2257.84,28.05,89.35,99.15,323.45,156.75
2010-03-15,30.63,63.45,46.21,78.84,89.85,32.6,158.87,360.0,192.0,2241.0,28.2,88.55,97.45,321.0,160.1
2010-03-16,30.38,62.3,46.55,83.13,90.5,32.15,158.11,362.5,189.7,2305.54,28.15,91.8,96.55,313.0,159.0
2010-03-17,30.99,63.65,47.44,84.97,90.25,32.45,160.0,355.5,191.11,2351.26,28.65,93.1,96.15,312.0,167.05
2010-03-18,31.58,62.2,47.84,86.66,91.7,32.7,159.02,357.45,198.49,2283.68,27.7,94.7,99.75,319.5,169.0
2010-03-19,30.31,62.5,45.16,84.81,91.05,32.2,159.95,362.3,200.09,2201.2,27.15,93.5,98.6,321.0,170.0
2010-03-22,29.73,63.5,46.02,80.23,90.0,31.95,157.01,369.5,199.44,2290.64,25.65,92.25,98.1,312.5,167.75
2010-03-23,30.7,60.0,44.87,82.49,89.87,31.4,157.52,367.5,198.5,2265.79,26.05,91.2,96.85,325.0,169.1
2010-03-25,29.63,61.4,43.93,84.23,88.86,30.95,157.01,352.8,196.0,2244.92,25.45,91.05,95.5,331.55,169.4
2010-03-26,29.73,60.1,44.68,83.33,89.25,31.15,159.1,356.25,197.5,2242.34,25.2,92.8,99.95,340.0,169.7
2010-03-29,30.65,61.6,45.55,82.83,91.25,31.55,158.1,359.75,200.9,2275.73,25.8,91.3,101.35,336.45,180.95
2010-03-30,30.9,61.8,45.93,81.03,93.0,31.85,157.0,365.0,202.1,2281.69,26.45,92.3,106.55,335.0,181.0
2010-03-31,31.48,63.2,44.4,81.03,91.05,33.2,158.8,360.0,205.0,2295.6,25.95,89.3,102.85,333.2,173.5
2010-04-01,30.8,65.15,45.35,80.33,92.0,31.55,160.5,365.75,206.9,2341.32,26.35,89.3,101.7,341.9,171.0
2010-04-05,31.75,67.35,46.5,81.23,94.75,33.4,160.9,367.0,204.2,2360.2,25.65,89.3,102.2,344.95,177.1
2010-04-06,32.55,68.45,46.93,83.03,94.0,33.9,159.1,369.95,206.0,2361.59,24.75,89.65,103.3,343.0,182.4
2010-04-07,32.52,69.0,46.69,82.32,94.0,33.5,162.9,364.0,206.88,2345.29,24.75,84.85,105.25,351.5,180.8
2010-04-08,32.2,68.4,47.42,82.82,94.24,33.1,162.0,347.5,205.0,2329.39,25.1,86.1,108.0,355.5,177.75
2010-04-09,32.84,68.45,47.08,80.43,96.5,34.5,166.97,347.3,200.8,2344.7,25.55,86.8,108.0,349.0,179.0
2010-04-12,32.93,68.5,46.99,81.53,95.45,34.7,167.9,362.65,204.3,2300.57,24.95,86.35,108.15,350.0,179.0
2010-04-13,34.02,67.5,46.97,83.13,95.1,35.35,167.4,364.5,203.01,2325.07,24.7,86.35,110.05,350.0,178.45
2010-04-15,34.49,67.5,47.18,81.83,95.3,34.7,167.7,356.15,203.9,2266.88,24.9,88.8,108.75,352.5,183.0
2010-04-16,33.13,67.75,46.7,83.72,98.5,32.1,164.0,388.5,205.8,2251.28,24.15,87.8,110.8,361.0,182.0
2010-04-19,35.51,67.9,46.12,81.63,101.16,29.95,166.4,376.12,202.62,2236.97,23.9,86.45,108.2,350.0,180.0
2010-04-20,36.63,69.0,47.96,80.23,103.0,30.45,163.02,382.0,205.7,2211.13,23.85,87.3,108.2,344.0,183.0
2010-04-21,37.86,68.3,50.61,81.33,102.48,30.95,164.98,390.0,209.0,2244.92,23.75,86.35,108.75,348.0,184.9
2010-04-22,38.86,69.9,52.56,82.83,101.76,31.25,166.89,391.0,206.0,2214.12,23.6,93.0,108.55,350.85,193.0
2010-04-23,39.25,69.4,54.69,80.76,101.76,31.65,164.0,400.0,206.5,2216.1,23.75,95.5,109.0,349.05,190.5
2010-04-26,39.64,69.8,54.19,80.83,104.0,31.5,167.44,387.52,209.15,2285.67,24.1,96.5,104.25,342.5,192.4
2010-04-27,39.87,69.15,55.15,80.83,103.25,32.3,166.37,382.55,206.8,2263.7,23.8,96.9,108.2,347.52,192.9
2010-04-28,40.32,68.0,55.44,78.06,102.26,31.4,164.5,382.55,205.1,2233.99,23.45,93.85,104.05,345.0,186.35
2010-04-29,39.84,70.0,54.29,80.53,102.89,31.85,164.0,387.0,209.89,2217.1,23.9,96.0,104.3,339.5,188.0
2010-04-30,41.87,80.3,54.29,81.72,106.3,33.4,165.9,389.0,207.6,2214.71,23.0,94.6,104.5,328.0,194.2
2010-05-03,41.66,79.0,53.8,80.26,107.25,33.9,163.9,392.07,207.0,2184.8,25.35,96.75,113.0,332.5,191.55
2010-05-04,41.88,80.4,52.94,82.83,109.9,33.9,165.95,389.9,209.78,2126.66,27.75,97.0,113.8,334.9,193.3
2010-05-05,40.32,78.85,53.9,79.84,107.0,34.95,161.0,380.0,205.4,2042.19,26.4,98.0,114.6,343.0,187.5
2010-05-06,43.04,81.3,54.02,79.54,109.9,39.4,165.89,378.9,205.22,2092.88,28.2,100.85,116.55,353.5,192.0
2010-05-07,39.83,82.8,53.8,79.83,108.4,39.4,162.5,373.5,201.03,2037.32,28.2,97.75,117.15,345.0,184.7
2010-05-10,40.33,85.3,53.9,81.82,108.5,39.9,164.5,349.55,209.2,2067.04,29.05,98.75,112.45,346.0,180.6
2010-05-11,42.99,85.1,56.09,79.64,108.5,43.6,164.2,370.0,211.12,2074.99,27.95,101.7,109.7,346.55,183.7
2010-05-12,42.26,82.2,56.11,79.51,106.18,42.95,165.0,362.0,221.3,2111.71,27.9,96.7,108.75,345.55,179.55
2010-05-13,42.74,83.5,55.92,81.72,108.61,46.65,166.0,360.5,205.12,2116.73,28.1,97.25,104.75,345.77,186.4
2010-05-14,46.83,82.2,55.73,81.33,112.3,50.0,165.8,369.88,211.5,2062.07,28.35,98.35,108.1,342.45,185.0
2010-05-17,46.86,80.2,56.59,80.94,113.1,52.05,165.0,355.0,212.0,2101.57,27.8,100.3,110.9,344.0,182.0
2010-05-18,48.58,81.7,56.16,81.04,113.5,52.55,165.69,355.05,215.9,2128.65,29.05,98.75,106.2,354.0,179.3
2010-05-19,46.93,82.2,55.82,80.19,114.5,47.3,165.5,351.05,214.7,2048.26,28.65,97.75,107.2,349.9,187.0
2010-05-20,46.15,82.0,55.73,79.25,113.35,46.55,166.5,347.12,212.01,2047.16,29.05,93.95,102.95,344.0,182.7
2010-05-21,45.65,79.5,55.74,76.91,111.0,43.7,167.0,332.5,202.3,2012.38,28.25,88.9,103.25,339.5,194.0
2010-05-24,45.33,81.5,55.73,81.33,116.9,45.95,165.44,346.5,204.49,1987.54,30.8,91.15,108.95,350.0,187.7
2010-05-25,42.85,82.0,56.59,82.59,110.85,40.4,166.51,340.5,206.32,1979.78,30.45,92.3,103.7,362.5,187.0
2010-05-26,41.68,81.4,57.62,80.34,109.47,43.15,166.25,338.0,211.3,1938.84,29.65,89.9,105.75,349.75,183.6
2010-05-27,44.4,80.0,56.37,81.04,109.9,43.1,169.0,355.0,207.5,1905.65,29.55,93.25,102.9,347.77,178.5
2010-05-28,45.66,83.0,54.77,83.62,110.0,44.4,167.53,386.5,214.9,1936.85,31.25,92.3,106.0,363.98,187.0
2010-05-31,44.8,83.2,51.78,81.33,110.9,45.05,167.1,382.5,210.5,1947.79,32.2,93.25,108.65,367.5,193.55
2010-06-01,45.18,85.0,51.74,80.33,110.8,43.1,166.5,377.57,209.5,1967.66,32.95,95.0,111.65,368.0,196.2
2010-06-02,45.18,85.5,51.69,81.83,111.0,45.2,168.5,372.75,206.15,2049.15,33.3,90.9,113.0,365.65,187.8
2010-06-03,45.86,86.0,52.37,81.58,111.19,46.35,169.04,377.5,213.15,2017.35,33.55,95.25,114.65,378.9,188.4
2010-06-04,45.39,84.7,52.94,84.66,112.05,46.95,172.0,375.0,211.49,1997.52,33.05,93.0,113.8,375.5,188.5
2010-06-07,47.63,82.5,52.75,84.33,111.0,45.7,170.0,373.0,213.24,2036.23,33.05,94.75,111.25,370.55,184.9
2010-06-08,44.74,82.2,51.69,83.33,112.9,45.5,168.61,383.5,218.9,2062.17,31.45,93.0,111.6,369.8,186.65
2010-06-09,45.11,80.5,52.17,86.62,111.85,48.4,169.5,385.2,223.8,2076.98,31.75,90.3,114.4,370.05,183.0
2010-06-10,46.43,80.3,51.04,84.92,111.25,46.35,172.0,390.0,229.8,2062.07,31.85,90.75,114.9,372.62,182.0
2010-06-11,46.34,80.2,52.84,86.32,112.05,46.2,173.5,386.95,231.1,2078.96,31.45,92.8,108.45,389.85,183.65
2010-06-14,46.13,84.4,52.36,86.83,112.89,46.0,173.0,385.75,231.1,2037.22,30.85,92.3,114.85,382.5,191.25
2010-06-15,45.66,90.9,52.1,89.81,111.95,45.7,175.0,387.0,229.2,2057.2,31.65,95.0,113.6,376.5,195.7
2010-06-16,46.63,94.0,52.65,88.02,111.35,44.8,178.1,388.5,230.6,2059.88,28.95,96.45,114.0,382.05,194.0
2010-06-17,46.15,94.5,51.98,88.82,111.25,44.4,181.0,384.0,233.5,2044.78,30.1,94.85,114.8,382.5,189.25
2010-06-18,45.66,94.6,51.99,87.82,111.0,42.75,182.5,391.0,236.8,2027.29,29.95,94.3,114.95,385.55,192.05
2010-06-21,46.15,92.2,52.63,89.12,110.25,40.0,185.0,386.65,238.9,2013.77,29.75,96.75,107.2,381.5,196.55
2010-06-22,46.14,92.3,51.69,87.45,110.42,39.8,186.8,389.75,240.5,1987.54,29.65,96.25,115.95,385.93,201.0
2010-06-23,45.86,91.2,51.11,87.78,110.5,40.6,185.5,387.5,237.2,1995.49,32.35,93.65,116.9,384.93,207.05
2010-06-24,46.15,91.3,51.11,89.81,109.78,40.8,186.34,415.0,241.5,2027.29,32.65,91.5,116.9,389.0,203.9
2010-06-25,46.15,91.2,51.02,89.32,112.9,41.25,185.0,404.0,243.9,2017.3,31.75,89.85,115.2,381.0,199.5
2010-06-28,45.96,90.0,51.3,89.41,113.5,41.7,185.5,398.35,240.2,2009.5,39.75,89.3,111.25,385.0,195.2
2010-06-29,46.05,90.05,51.59,88.31,117.0,40.3,185.51,392.35,236.6,2014.37,42.45,89.3,112.45,388.7,200.8
2010-06-30,44.69,90.5,51.31,88.45,117.05,42.75,184.0,377.52,237.0,1993.75,43.3,89.05,111.1,386.0,196.4
2010-07-01,45.66,92.5,51.48,90.31,118.0,43.05,188.4,372.55,233.0,1990.22,48.35,90.3,111.65,385.85,204.0
2010-07-02,44.94,90.7,51.4,90.81,117.5,42.95,186.1,377.15,234.0,1972.73,49.25,89.6,114.6,389.85,205.55
2010-07-05,46.11,90.3,51.88,95.8,117.25,42.4,186.51,376.5,233.0,2012.38,49.8,87.05,112.25,378.8,205.0
2010-07-06,48.47,95.0,51.26,102.29,116.55,42.25,199.4,375.5,233.0,1984.55,48.45,88.05,114.75,382.5,207.75
2010-07-07,50.04,93.45,50.95,105.28,119.5,42.15,186.4,368.5,234.52,1868.28,47.35,89.3,114.0,383.1,212.0
2010-07-08,49.36,94.5,51.59,112.77,121.19,42.25,196.0,378.5,234.53,1897.1,47.45,89.25,116.55,384.5,213.0
2010-07-09,49.21,95.65,51.59,96.8,124.75,41.85,189.11,370.05,236.0,1923.93,50.1,89.3,115.4,382.5,221.4
2010-07-12,49.75,94.4,51.49,97.31,125.5,40.8,195.16,383.05,237.9,1977.6,51.6,90.55,113.25,381.0,216.0
2010-07-13,50.04,94.5,51.21,93.81,125.42,42.55,191.1,387.93,237.2,1927.31,49.55,91.3,116.35,381.0,214.0
2010-07-14,52.46,94.9,51.71,93.81,132.5,41.8,194.4,387.0,237.56,1900.68,50.85,89.75,116.8,385.0,215.0
2010-07-15,52.01,94.1,51.88,91.8,129.5,41.1,197.0,381.5,241.8,1900.68,48.65,89.15,117.7,382.57,209.5
2010-07-16,51.52,94.5,51.7,90.31,134.32,40.85,194.0,380.0,244.85,1908.03,44.95,89.05,115.35,385.57,208.5
2010-07-19,48.93,94.0,51.71,92.11,133.5,41.05,194.0,385.0,248.51,1908.03,45.35,91.8,115.05,391.5,210.0
2010-07-20,53.78,96.5,52.82,93.41,132.5,42.0,194.48,382.5,247.5,1887.17,45.65,94.3,117.65,394.12,210.7
2010-07-21,52.76,97.0,52.83,93.69,134.4,42.55,194.0,378.05,247.5,1858.35,43.9,92.55,114.0,383.25,210.0
2010-07-22,53.91,95.8,52.66,92.31,133.55,43.6,188.0,377.0,247.8,1843.44,44.2,91.7,116.95,385.5,207.4
2010-07-23,53.33,99.5,54.27,92.41,140.05,42.85,191.0,386.75,252.19,1868.28,44.5,93.0,117.9,390.05,207.4
2010-07-26,47.96,99.0,53.99,93.21,139.92,42.1,196.0,380.68,251.7,1818.6,43.45,92.55,124.7,380.0,214.6
2010-07-27,52.63,99.0,53.8,92.4,140.0,41.75,188.12,385.27,253.51,1818.55,43.0,93.0,125.1,384.0,209.6
2010-07-28,53.44,98.25,56.47,91.01,143.5,42.35,192.0,388.0,246.0,1818.6,43.9,94.9,129.7,382.52,206.9
2010-07-29,52.96,99.2,56.88,91.31,141.5,41.9,191.0,384.5,258.62,1818.6,44.35,94.25,129.6,386.5,205.0
2010-07-30,54.61,99.9,56.25,91.81,141.2,42.05,188.5,398.0,262.19,1798.72,42.55,93.75,127.95,377.5,202.2
2010-08-02,55.96,98.6,56.11,91.81,140.06,42.35,202.61,390.0,260.6,1814.62,43.35,98.35,129.0,377.57,205.6
2010-08-03,56.25,98.8,59.09,88.82,141.85,42.15,210.0,393.0,262.31,1781.33,43.9,97.5,137.2,377.57,207.5
2010-08-04,56.06,103.0,60.25,89.42,141.1,42.4,212.9,394.98,263.0,1788.78,44.9,97.3,137.4,375.6,212.0
2010-08-05,56.74,104.1,59.38,90.26,140.05,42.65,218.8,394.75,259.2,1803.69,43.85,100.8,135.45,379.43,208.85
2010-08-06,55.48,101.2,58.33,87.62,139.25,42.5,232.0,395.5,260.8,1809.65,45.25,102.8,135.65,371.8,209.0
2010-08-09,57.81,100.8,59.0,86.22,141.0,42.8,229.0,397.55,264.8,1799.02,45.05,102.15,139.55,379.9,208.7
2010-08-10,59.46,102.5,58.86,87.01,141.0,42.85,205.5,403.15,267.0,1823.27,44.85,103.1,141.55,378.75,214.6
2010-08-11,58.3,102.15,59.66,85.82,140.0,42.55,204.0,399.55,266.69,1888.16,46.15,101.7,139.3,382.25,219.15
2010-08-12,57.09,100.45,58.61,83.83,137.56,45.2,205.51,395.5,267.5,1863.41,48.25,98.0,141.3,376.45,216.1
2010-08-13,59.66,110.0,58.03,84.82,141.75,48.05,213.4,403.0,268.0,1888.16,51.75,99.55,144.6,374.5,224.5
2010-08-16,58.98,110.35,60.43,84.23,150.05,47.0,209.8,393.5,265.0,1854.37,51.35,102.25,139.35,377.0,224.0
