Date,AAPL.US,MSFT.US,NVDA.US,JPM.US,GS.US,BAC.US,JNJ.US,UNH.US,AMZN.US,MCD.US,XOM.US,CVX.US,CAT.US,HON.US,T.US
2025-05-12,209.957,445.8468,122.971,255.0928,579.3379,42.4062,149.9644,368.3628,208.64,304.8794,105.5339,135.5213,338.8824,202.3911,25.8805
2025-05-13,212.0886,445.7277,129.8994,257.9964,591.5548,43.306,144.4188,302.8404,211.37,301.7223,105.824,136.2198,348.7654,201.3577,25.3439
2025-05-14,211.491,449.4988,135.3081,260.5762,599.1867,43.7558,142.3951,299.5629,210.25,300.5592,104.8765,135.5691,345.9163,200.3981,25.3343
2025-05-15,210.6144,450.5129,134.7982,262.391,603.3994,43.4038,145.5571,266.826,205.17,307.3816,105.94,136.1337,346.0647,205.1132,26.1871
2025-05-16,210.4252,451.6463,135.3681,262.4596,606.4659,43.7069,147.2305,283.9044,205.59,311.4184,105.5595,135.9806,349.7943,206.708,26.5608
2025-05-19,207.955,456.2198,135.5381,259.8307,599.8725,43.7852,148.3591,307.2268,206.16,313.9793,103.8813,134.1403,348.7951,208.6185,26.8482
2025-05-20,206.0426,455.5238,134.3483,260.6155,594.2098,43.7069,149.4974,312.7607,204.07,312.5815,102.3983,132.9586,345.7481,208.7298,26.6183
2025-05-21,201.2914,449.9561,131.7689,256.0639,581.4149,42.2986,149.0304,294.6708,201.12,309.2974,101.1396,131.3023,338.8428,205.7712,26.3212
2025-05-22,200.5643,452.2329,132.7987,255.701,586.0881,42.3573,148.4758,288.5339,203.1,307.2155,100.4664,131.0408,341.4941,207.4036,26.0913
2025-05-23,194.4984,447.58,131.2591,255.7402,586.3918,42.2497,148.7969,287.464,200.99,307.4696,100.525,132.2515,339.7134,205.9196,26.2733
2025-05-27,199.4189,458.0293,135.4681,260.2329,603.2329,43.2473,150.3741,286.9097,206.02,307.841,101.003,133.501,347.7465,210.0283,26.2446
2025-05-28,199.628,454.7185,134.7782,258.4672,596.0908,43.0908,149.5695,289.9344,204.72,305.7786,99.6273,131.7479,345.7481,208.3125,26.35
2025-05-29,199.1599,456.0309,139.1572,259.3304,592.5835,43.2668,150.6979,289.9927,205.7,304.8208,100.1932,133.5785,348.0235,208.8504,26.235
